Year ,Author ,Paper name ,citation,Domain,Dataset ,Journal ,Conference,Method  and keywords ,Limitations,Advantages
2017,"Begue A, Kowlessur V, Singh U, Mahomoodally F, Pudaruth S",Automatic recognition of medicinal plants using machine learning techniques. ,71,DL,Private ,ELS,,"k-nearest neighbour, naïve Bayes, support vector machines and neural networks.","Due to high values of diagonal lines two leaves, i.e., bitter gourd and coriander leaves are misclassified to each other.","They did the classification based on the KNN, SVM, and RF, and received better feature enhancement with the RF."
2017,"Kan HX, Jin L, Zhou FL",Classification of medicinal plant leaf image based on multi-feature extraction,74,DL,Private ,SP,,"CNN,SVM","Pre-processing was required for data images, which is time-consuming.","
SF, TF and SVM were found to be superior in case of recognition and time.
"
2017,"Beghin T, Cope JS, Remagnino P, Barman S",Shape and texture based plant leaf classification,177,ML,Private ,,SP,contour signature method,NA,NA
2017,"Rao A, Kulkarni SB. ",An improved technique of plant leaf classificaion using hybrid feature modeling,3,ML,Private ,CLER,IE,SIFT feature and Deep Neural Network,NA,NA
2018,"Gonçalves FM, Guilherme IR, Pedronette DC",Semantic guided interactive image retrieval for plant identification. Expert Systems with Applications,19,ML,Oxford Flowers ,ELS,,Semantic Interactive Image Retrieval (SIIR) – (Auto Color Correlation (ACC) + Border/Interior Pixel Classification (BIC) + CNN-Caffe + Speeded Up Robust Features(SURF) ),"This approach may reduce image retrieval effectiveness if the user inputs the wrong answer. They have used angiosperm family Dataset rather than angiosperm species, as species database provides specific attributes, which result in more and accurate feature extraction.",This approach may be helpful to reduce the user effort for the recognition of species. They provided an ontology-based feature for user’s doubt clarification regarding species
2018,"Olsen A, Konovalov DA, Philippa B, Ridd P, Wood JC, Johns J, Banks W, Girgenti B, Kenny O, Whinney J, Calvert B",DeepWeeds: A multiclass weed species image dataset for deep learning. Scientific reports.,231,DL,Private ,O,,Inception-v3 and ResNet-50. ,NA,NA
2018,"Chaudhury A, Barron JL.",Plant Species Identification from Occluded Leaf Images. IEEE/ACM transactions on computational biology and bioinformatics,22,IP,"Flavia ,leafsnap ,swedish ",CPEW,IE,"Discrete Contour Evolution (DCE) algorithm, Partial contour matching, optimization "," If occlusion of leaves is high it was difficult to distinguish the leaves species.
 The accuracy rate could had been increased if leaf texture was added with contour information.
The compound leaves or closely related species leaves were not used in the approach. 
",The main advantage of this approach is   they matched an occluded contour with all full contours in database
2018,"Miao Z, Gaynor KM, Wang J, Liu Z, Muellerklein O, Norouzzadeh MS, McInturff A, Bowie RC, Nathan R, Stella XY, Getz WM.",Insights and approaches using deep learning to classify wildlife. Scientific reports,90,DL,Private ,o,,"Convolutional Neural Network (CNN) VGG-16 a ResNet-50 CNN, GG-CAM) ",the misclassification is observed in images correctly when the distinct features of the species were obscured or multiple species were in the same scenes.,Even from the images of deferent inter species animal system correctly recognised the species of that particular animal due to GG-CAM a hybrid approach.
2018,"Zhang K, Wu Q, Liu A, Meng X",Can deep learning identify tomato leaf disease,175,DL,Private ,H,,"Stochastic Gradient Descent (SGD), Adam optimization AlexNet, GoogLeNet, and ResNet ",One of the segmentation methods of Short Boundary Detection (SBD) performed worse when compared to other methods.,NA
2018,"Zhang S, Zhang C, Huang W",Integrating leaf and flower by local discriminant CCA for plant species recognition,6,DL,Private ,ELS,,modified local discriminant canonical correlation analysis (MLDCCA,"For the same leaf feature, results were iterated several times to improve it.","Features were fused by Score level fusion and applied 1 NN on MLDCCA, which enhanced the feature extraction and classification process."
2018,"Bhargava A, Bansal A.", Fruits and vegetables quality evaluation using computer vision: A review.,373,ML,Private ,ELS,,"SVM,Gabor filters , K-NN, SVM BPNN Classifier Color features + GLCM, GCH, LBP, CLBP, GCH, CCV",database sources and detail description was not added in this study ,"various method of both machine learning and deep learning .they worked on shape size ,texture ,colour healthy and unhealthy fruits or veggies "
2018,"Liang WJ, Zhang H, Zhang GF, Cao HX",Rice blast disease recognition using a deep convolutional neural network. ,166,DL,Private ,O,,CNN ,,
2018,"Dias PA, Tabb A, Medeiros H. ",Apple flower detection using deep convolutional networks. Computers in Industry,178,DL,Private ,ELS,,": Fine trained CNN , simple linear iterative clustering SLIC, SVM",Fewer features were identified in both the organs commonly,"They compared the optimal CNN model against the original, blurred, and mean padded background image datasets."
2018,"Krizhevsky A, Sutskever I, Hinton GE.",Imagenet classification with deep convolutional neural networks. Communications,133388,DL,on ImageNet ,CLEA,IE,"CNN ,ReLU",NA,NA
2018,"Kumar N, Belhumeur PN, Biswas A, Jacobs DW, Kress WJ, Lopez IC, Soares JV.",Leafsnap: A computer vision system for automatic plant species identification. InEuropean conference on computer vision ,961,CV,"Swedish leaf , Flavia dataset ImageCLEF11 and ImageCLEF12 leaf Leafsnap dataset  ICL dataset Oxford Flower",ELS,,"1NN,KNN ,SVM ,CNN, Fuzzy –KNN.",NA,NA
2018,"Barmpoutis P, Dimitropoulos K, Barboutis I, Grammalidis N, Lefakis P",Wood species recognition through multidimensional texture analysis,62,DL,Private ,ELS,,"CNN,SVM",The computational time increased by identifying the differences in attention cropping and preprocessing of images.,They have used cross-section radial and tangible and descriptor images.
2018,"Salve P, Yannawar P, Sardesai M.",Multimodal plant recognition through hybrid feature fusion technique using imaging and non-imaging hyper-spectral data. ,18,ML,VI Leaf 60 ,ELS,,"SIFT,SFTA and SIFT+SFTA.",NA,NA
2018,"Wei XS, Xie CW, Wu J, Shen C",Localizing parts and selecting descriptors for fine-grained bird species categorization,267,DL,CUB 200-2011 ,ELS,,a novel Mask-CNN model without the fully connected layers,"The matcher algorithm increased its accuracy after 2 stages and on the plant species, particularly.",They got a hike of 4% on the calculated results as compared to other methods with the help of a color histogram.
2018,"Sharma N, Jain V, Mishra A", An analysis of convolutional neural networks for image classification,454,DL,CIFAR- 100 ,ELS,,AlexNet GoogLeNet ResNet50,this model did not work well for train and street car  gave only accuracy of 25%.,"they did the experimentation on 3 datasets and compared the result with pre trained networks as AlexNet ,GoogLeNet ,ResNet50.after comparison they got better results than other methods "
2018,"Zhu X, Zhu M, Ren H",Method of plant leaf recognition based on improved deep convolutional neural network.,84,DL,Private ,ELS,,"Inception V2, batch normalization (BN)",NA,the accuracy was better than faster RCNN
2018,"Liakos KG, Busato P, Moshou D, Pearson S, Bochtis D",Machine learning in agriculture: A review. Sensors. ,2,ML,Private ,O,,"Regression Clustering,  Bayesian Models,   Instance Based Models, Decision Trees, ANN Support Vector Machines , Ensemble Learning.",NA,NA
2018,"Krause J, Sugita G, Baek K, Lim L",WTPlant (What's That Plant?) A Deep Learning System for Identifying Plants in Natural Images.,14,ML,Private ,O,,"WTPlant, CNN, watershed, Grab cut.",WTPlant took an average of 20 seconds to analyse each image which may be time consuming.,they have combined two CNN AlexNet and DL architecture due tofusion got better result on top 1 accuracy which are better than CNN trained using NB and Random crop approach 
2018,Morris D,A pyramid CNN for dense-leaves segmentation,37,DL,Private ,CLER,IE, pyramid convolutional neural network,NA,Real life MSU Dense-Leaves dataset was proposed and trained using PCNN
2018,"Xiao Q, Li G, Xie L, Chen Q",Real-world plant species identification based on deep convolutional neural networks and visual attention. ,23,DL,Plant CLEF  ,ELS,,"ResNet50 without AC , Inception v3 without AC, ResNet50 with AC , Inception v3 with AC.",The result could have been improved using data augmentation through affine transformations and the use of external datasets.,AC expected more differences in the intra- and inter-class species at different times.
2019,"Manasa N, Herur P, Shetty P, Prarthana N, Venkatrao P. ",Plant Recognition using Watershed and Convolutional Neural Network.,3,DL,Private ,CLER,IE,"Marker based watershed algorithm ,CNN.",multifeature extraction should be done for improving the results,"they did the work on overlapping leaves form background for which  they have used the Watershed Algorithm to separate a single leaf from other overlapping leaves. The images were resized to 227 x 227 x 3 and fed into the network, which got the noticeable difference between betel and Pepper Leaves  even though they are same in appearance "
2019,"Krause J, Baek K, Lim L. A ",guided multi-scale categorization of plant species in natural images,9,DL,: BJFU100  and the UHManoa100 ,CLEN,IE,CNN,"The used inception model performed  worse, potentially due to the overfitting problem. In that case, the use of pre-trained models and larger augmented data may improve the accuracy","WTPlant v2.0 performed  the best, indicating that the guided multi-scale approach improved the performance of all tested CNNs significantly.
accuracy was increased by  5.4%  over random cropping for data generation .
"
2019,"Alsaedi N, Alahmadi H, Syed L.",Desert Plants Recognition by Bark Texture.,,DL,Private ,CLER,IE,CNN,NA,NA
2019,"Azeez YR, Rajapakse C. ",An Application of Transfer Learning Techniques in Identifying Herbal Plants in Sri Lanka,5,DL,Private ,CLER,IE,"CNN: Resnet, Inception –V3,Resnet v2",the main limitation is that they have trained  only classification part  and skipped feature extraction ,NA
2019,"Bandara M, Ranathunga L",Texture dominant approach for identifying ayurveda herbal species using flowers.,4,DL,Private ,H,IE,"SVM, Decision Trees and K-NN.",The work was done on few features of flowes as texture and colours ,SVM had highest accuracy with Gabor textures and Tamura textures even though it has least accuracy with Haralick textures. KNN classifiers have relatively good accuracy with all the features while Decision Tree classifiers have the least
2019,"Huang YP, Basanta H. ",Bird image retrieval and recognition using a deep learning platform,42,DL,Private ,,IE,CNN,NA,NA
2019,"Li N, Zhang X, Zhang C, Guo H, Sun Z, Wu X. ",Real-time crop recognition in transplanted fields with prominent weed growth: a visual-attention-based approach,23,DL,MSRA-B ,GRO,IE,CNN,image acquisition techniques was used by authors which were more complex .this can also be done by apps available ., they have generated their own dataset which gave yield of 97% accuracy also they did work on the dataset  MSRA-B. with goo results 
2019,"Kumar M, Gupta S, Gao XZ, Singh A. ",Plant Species Recognition Using Morphological Features and Adaptive Boosting Methodology.,59,DL,FLAVIA,CLEF,IE,"K-NN,Adaboosting ",NA,NA
2019,"Goyal N, Gupta K, Kumar N",Multiclass twin support vector machine for plant species identification.,11,DL,FLAVIA,SP,,Multiclass Twin Support Vector Machine,NA,NA
2019,"Bojamma AM, Shastry C. ",A study on the machine learning techniques for automated plant species identification: current trends and challenges,12,ML,"Flavia ,Swedish and  Acer dataset ",SP,,ANN,NA,NA
2019,Zarrin I,Leaf Based Trees Identification Using Convolutional Neural Network. ,13,DL,Private ,CLER,IE,CNN,the work could be extended for more no of trees (species )with same images count ,:  own dataset was created which improved the accuracy up to  99.40%
2019,"Teja Kattenborn*, Jana Eichel & Fabian Ewald Fassnacht","Convolutional Neural Networks enable efcient, accurate and fnegrained segmentation of plant species and communities from high-resolution UAV imagery",,CV,"Swedish leaf , Flavia dataset ImageCLEF11 and ImageCLEF12 leaf Leafsnap dataset  ICL dataset Oxford Flower 17 and 102 dataset .",O,,CNN-based segmentation approach (U-net),the work can also be explored with wide varieties of trees rather than sticking to few. ,the mian advantage is that the presented approach is compatible with low-cost UAV systems that are easy to operate and thus applicable to a wide range of users.
2019,"Kazerouni MF, Saeed NT, Kuhnert KD",Exploration of Autonomous Mobile Robots through Challenging Outdoor Environments for Natural Plant Recognition Using Deep Neural Network,2,DL,Private ,CLER,IE,CNN,NA,NA
2019,"Kheirkhah FM, Asghari H",Plant leaf classification using GIST texture features. IET Computer Vision,42,DL,"IMAGECLEF12 ,leafsnap,Flavia ",CLEF,,"PCA algorithm , cosine KNN classifer ",NA,NA
2019,"Li X, Wang H, Li X, Tang Z, Liu H",Identifying Degraded Grass Species in Inner Mongolia Based on Measured Hyperspectral Data,9,ML,Private ,CLER,IE,": principal component analysis (PCA), confidence interval mean difference method (CIMDM)","The recognition of a few species, such as Leymus Chinensis, Allium Ramosuml., and Stipa Grandis, was poor.","They have collected the images of grass during different stages, such as squaring, heading, leaf growth, and the mature phase. This is useful for the identification and degradation of large-scale grass species monitoring using hyperspectral remote sensing imagery."
2019,"Manasa N, Herur P, Shetty P, Prarthana N, Venkatrao P. ",Plant Recognition using Watershed and Convolutional Neural Network,3,DL,Private ,CLER,IE,"Watershed algorithm ,CNN",NA,NA
2019,"Pacifico L, Britto L, Oliveira E, Ludermir T. ",Automatic Classification of Medicinal Plant Species Based on Color and Texture Features,24,DL,Plant Village ,CLEI,IE,"Decision Tree classifier (DT), K-Nearest Neighbors (KNN, w Weighted K-Nearest Neighbors (WKNN Random Forest Classifier (RFC) , Multi-Layer Perceptron trained with Backpropagation algorithm (MLP-BP).","only colour and  shape feature were extracted which could be extended to venetation ,Contour and leaf tooth features .",NA
2019,"Pallagani V, Khandelwal V, Chandra B, Udutalapally V, Das D, Mohanty SP",dCrop: A Deep-Learning based Framework for Accurate Prediction of Diseases of Crops in Smart Agriculture,48,DL,Plant Village ,CLEI,IE,"ResNet 50, ResNet 34 and AlexNet ",the main language of app was English in proposed system which may create a problem while interfacing  with farmer as user  ,The app empowers any individual with a smartphone to help protect their crops
2019,"Quan L, Feng H, Lv Y, Wang Q, Zhang C, Liu J, Yuan Z.", Maize seedling detection under different growth stages and complex field environments based on an improved Faster R–CNN. Biosystems Engineering. 2019 Aug 1;184:1-23.,87,DL,Private ,ELS,,ReCNN,NA,NA
2019,"Raja R, Slaughter DC, Fennimore SA, Nguyen TT, Vuong VL, Sinha N, Tourte L, Smith RF, Siemens MC.", Crop signalling: A novel crop recognition technique for robotic weed control. biosystems engineering. 2019 Nov 1;187:278-91.,30,CV,Private ,ELS,,crop signalling technique,NA,"The crop/weed differentiation was thus effective, fast, reliable, and commercialisation of robotic weed control using the technique may be feasible.  The methods have very low false positive error rate"
2019,"Swetha V, Jayaram R. ",A Novel Method for Plant Leaf Malady Recognition using Machine Learning Classifiers,4,ML,Plant Village,CLEI,IE,"Histogram of Oriented Gradient (HOG) , Random Forests",NA,NA
2019,"Santhosh S, Zulfath AF, Gokilavani B, Madhuvanthi S, Guruprasath G, Karthick M. ",Classification of Leaf Images for Species Identification,2,DL,Private ,CLER,IE,SVM,NA,"High accuracy and less generalize leads to over fitting the model and cross validation tried to avoid it by taking training and test data in each fold.
The kernel parameters were chosen and adjusted for reducing the error in the classification and to get better curve fit. The best soft margin parameter C and the hard margin parameter ? values were chosen by K- fold cross validation which used both the train and test data in each fold for balancing the trade off between the generalization and the accuracy.
"
2019,"Rauf HT, Lali MI, Zahoor S, Shah SZ, Rehman AU, Bukhari SA", Visual features based automated identification of fish species using deep convolutional neural networks. Computers and Electronics in Agriculture. 2019 Dec 1;167:105075.,86,DL,Private ,ELS,,CNN,NA,NA
2019,Sivaranjani.C,Real-Time Identification of Medicinal Plants using Machine Learning Techniques,8,ML,Private ,CLER,IE,Logistic Regression ,NA,NA
2019,Ding Min Yue,Plant Leaf Recognition Based on Naive Bayesian Classification and Linear Discriminant Analysis Model,6,DL,Private ,CLER,IE,"naive Bayesian classification, linear discriminant analysis model",they have worked only on shape and edge features of leaf.,"the main advantage is that, system could  quickly and accurately identify the leaf category and had strong applicability"
2019,"Shanwen Zhanga,?
, Wenzhun Huanga
, Yu-an Huanga,b
, Chuanlei Zhang",Plant species recognition methods using leaf image: Overview,34,DL,"leafsnap
Flavia
,ICL leaf dataset
Image CLEF, Life CLEF, Plant CLEF
",ELS,,"Subspace learning, Sparse Representation , and CNN ,Feature extraction using Machine learning ",NA,"all the databases  and related algorithm such as for shape, texture, colour ,feature fusion were studied "
2019,"Haixi Zhanga
, Zhenzhong Kuang b
, Xianlin Penga
, Guiqing Hea
, Jinye Penga,?
, Jianping Fan","Aggregating diverse deep attention networks for large-scale plant
species identification",9,DL,iNaturalist2018,ELS,,an attention based deep hierarchical multitask learning (AHMTL) algorithm,NA,They have proposed a fusion method which increased the results and efficiency coampred to other single methods 
2019,"Youxiang Zhua
, Weiming Suna
, Xiangying Caoa
, Chunyan Wanga
, Dongyang Wua
,
Yin Yang b
, Ning Yea,?","TA-CNN: Two-way attention models in deep convolutional neural
network for plant recognition",53,DL,Malayakew and ICL ,ELS,,family first model  + max-sum attention CNNs,NA,they have proposed a new concept of  family first model with  family labels which increased the accuracy 
2019,"Tatsuhiro Akiyama?
, Yosuke Kobayashi?
, Yuichi Sasaki†
, Kaori Sasaki†
, Takashi Kawaguchi†
and Jay Kishigami?","Mobile Leaf Identification System using CNN
applied to plants in Hokkaido",,DL,Private ,CLER,IE,"VGG19, MobileNet, and MobileNetV2",NA,NA
2019,"Aydin Kayaa,?
, Ali Seydi Kecelia
, Cagatay Catalb
, Hamdi Yalin Yalica
, Huseyin Temucina
,
Bedir Tekinerdoganb","Analysis of transfer learning for deep neural network based plant
classification models",326,DL,Flavia,ELS,,"cross-dataset fine-tuning of the CNN model , CNN-RNN","This method provided close but not the best results in many of the datasets, except UCI Leaf.",they have used wide variety of  images for experiments 
2019,"Teja Kattenborn*, Jana Eichel & Fabian Ewald Fassnacht","Convolutional Neural Networks
enable efcient, accurate and fnegrained segmentation of plant
species and communities from
high-resolution UAV imagery",,ML,Pinus radiata and Ulex europaeus ,O,,"UAV-based RGB aerial imagery ,CNN based segmentation .",NA,NA
2019,"Anh H. Vo, Hoa T. Dang, Bao T. Nguyen, and Van-Huy Pham
",Vietnamese Herbal Plant Recognition Using Deep Convolutional Features,23,DL,Private ,O,,"LightGBM,CNN",NA,"they have used customised dataset of Vietnam medicinal plants or herbs for which they did cleaning of dataset, cropping and other pre-processing activities.."
2019,"Anubha Pearline Sundara Sobitha Raj1
, Sathiesh Kumar Vajravelu1",DDLA: dual deep learning architecture for classification of plant species,,ML,"Flavia, Folio, and Swedish Leaf) and custom collected (Leaf-12) ",O,,"DDLA?+?LR ,MobileNet and DenseNet-121 , linear discriminant analysis, multinomial logistic regression (LR), Naive Bayes, classification and regression tree, k-nearest neighbour, random forest classifier, bagging classifier and multi-layer perceptron","When the DenseNet121 + Fully Connected Layer (FCL) was used, it took more time when compared to that of the other methods and also resulted in a little misclassification.",DDLA?+?LR architecture produced higher results when compared with the individual architectures having an LR classifier.
2019,"G. Saleema
, M. Akhtarb
, N. Ahmedc
, W.S. Qureshid,",Automated analysis of visual leaf shape features for plant classification,101,DL,Private ,ELS,,KNN,"Only the Flavia dataset was used, but the work can also be explored with other datasets as well.","They have compared the classification methods as KNN, NB, DT and Multi-SVM. They achieved good result in case of KNN."
2020,"Seyed Iman Saedi a,?
, Hossein Khosravi b","A deep neural network approach towards real-time on-branch fruit
recognition for precision horticulture",42,DL,Private ,ELS,,deep CNN,The method was time-consuming due to pre-pressing and augmentation techniques,NA
2020,"Bin Zhanga,b
, Lin Zhaoa,b,c,1
, Xiaoli Zhanga,b,?","Three-dimensional convolutional neural network model for tree species
classification using airborne hyperspectral images",107,DL,Private ,ELS,,"Random Forest Feature Screening ,3D CNN.",NA,NA
2020,"Mahmoud Al-Sarayreha,b,?
, Marlon M. Reisb,??, Wei Qi Yana
, Reinhard Klette","Potential of deep learning and snapshot hyperspectral imaging for
classification of species in meat",65,DL,Private ,ELS,,3D-CNN,"They had a low number of training samples, and it was used with much higher capacity, which decreased the performance for some of the fruits (sour fruits).","Considering the prediction time taken, the model performed very well. For example, it was 20 times faster than ResNet50 and 43 times faster than ResNet152. It could process 64 frames per second."
2020,Ayan Chaudhury and John L. Barron,"Plant Species Identification from
Occluded Leaf Images",22,,  Swedish ,,IE,"Discrete Contour Evolution (DCE) algorithm
3. Dataset name:  
",NA,NA
2020,"Ashkan Banana , Amin Nasirib , Amin Taheri-Garavand",Deep learning-based appearance features extraction for automated carp species identification,167,DL, ImageNet,ELS,,"CNN, VGG16",NA,NA
2020,"Risab Biswas*, Avirup Basu, Abhishek Nandy,","Identification of Pathological Disease in Plants
using Deep Neural Networks - Powered by
Intel® Distribution of OpenVINO™ Toolkit ",7,ML,"Blister Blight of Tea (Family: Theaceae) 2. Citrus Canker (happens in citrus plants, Family: Rutaceae) 3. Early Blight (happens in tomato, potato and egg plant, Family: Solanaceae) 4. Late Blight (happens in tomato, potato and egg plant, Family: Solanaceae) 5. Powdery Mildew ",,IE,Deep Neural Networks,NA,NA
2020,"Philomina Simon1
, Uma V2",Deep Learning based Feature Extraction for Texture Classification,31,DL,"KTH_TIPS
CURET
",ELS,,"AlexNet, VGG19, Inception, InceptionResNetV3,ResNet and DenseNet201, Support vector machine",Few models took up more time for execution compared to all the other pre-trained models. Inception-ResNetv2 took more execution time than all the other pre-trained models.,Result analysis showed that CNN could be considered as a very good feature extractor.  It is also better than the hand-crafted features. SVM also shows optimal performance for texture classification.
